,Id,Name,Nation,Team,League,Born,Mac,Pos,Blok,Baskı,Pas,Gole_katkı,Dakika
0,0,Max Aarons,ENG,Norwich City,Premier League,2000,34,DF,0.05151186440677966,0.07656,0.0741108837310668,0.0018,0.8423515647850249
1,1,Yunis Abdelhamid,MAR,Reims,Ligue 1,1987,34,DF,0.041223728813559325,0.06756,0.07981920017434893,0.04421052631578948,0.8721848493711611
9,9,Francesco Acerbi,ITA,Lazio,Serie A,1988,30,DF,0.008,0.08574000000000001,0.11951133485888633,0.10315789473684209,0.7414448669201521
12,12,Marcos AcuÒa,ARG,Sevilla,La Liga,1991,31,DF,0.0032,0.072,0.16001372779775527,0.03307368421052632,0.6607195086282539
21,21,Martin Agirregabiria,ESP,AlavÈs,La Liga,1996,24,DF,0.0034000000000000002,0.06144,0.07187283643892341,0.0018,0.47236033928049137
25,25,Nayef Aguerd,MAR,Rennes,Ligue 1,1996,31,DF,0.030450000000000005,0.07513,0.12471545385202137,0.05367894736842104,0.7996490201813397
27,27,Ruben Aguilar,FRA,Monaco,Ligue 1,1993,28,DF,0.0058,0.07392,0.11674245396098944,0.0024,0.6256215267622112
30,30,Anel Ahmedhodzic,BIH,Bordeaux,Ligue 1,1999,15,DF,0.019725,0.05772,0.10148864552686063,0.0021000000000000003,0.39455981281076336
32,32,Joseph Aidoo,GHA,Celta Vigo,La Liga,1995,32,DF,0.0116,0.08004000000000001,0.08586786749482402,0.0,0.7709856683240714
33,33,Ola Aina,NGA,Torino,Serie A,1996,21,DF,0.0038000000000000004,0.12544000000000002,0.07704647488285933,0.0,0.42000584966364435
34,34,Rayan AÔt Nouri,FRA,Wolves,Premier League,2001,23,DF,0.003,0.07464,0.08685922632668627,0.039842105263157894,0.5343667739105001
35,35,Kristoffer Ajer,NOR,Brentford,Premier League,1998,24,DF,0.0329864406779661,0.0885,0.05745097308488613,0.041042105263157894,0.583211465340743
37,37,Manuel Akanji,SUI,Dortmund,Bundesliga,1995,26,DF,0.0244,0.07332,0.1368702408194399,0.029473684210526315,0.6610119918104709
38,38,Carlos Akapo,EQG,C·diz,La Liga,1993,25,DF,0.007800000000000001,0.0674,0.06688215320910973,0.0,0.5390465048259725
40,40,Nathan AkÈ,NED,Manchester City,Premier League,1995,14,DF,0.0183,0.09558,0.1368873706004141,0.13999999999999999,0.26966949400409473
45,45,Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,1995,26,DF,0.0024,0.08875999999999999,0.10743121935272965,0.09202105263157896,0.4463293360631764
46,46,David Alaba,AUT,Real Madrid,La Liga,1992,30,DF,0.03281186440677966,0.09786999999999998,0.12392779993461918,0.054578947368421046,0.7724480842351565
50,50,Jordi Alba,ESP,Barcelona,La Liga,1989,30,DF,0.0048,0.0928,0.15307429661109295,0.061778947368421044,0.7730330505995906
53,53,Ra˙l Albiol,ESP,Villarreal,La Liga,1985,28,DF,0.038549152542372886,0.10901,0.09236333442301405,0.0,0.7206785609827435
58,58,Omar Alderete,PAR,Valencia,La Liga,1996,29,DF,0.021775000000000003,0.06792000000000001,0.05151453416149068,0.051578947368421044,0.7025446036852881
