,Id,Name,Nation,Team,League,Born,Mac,Pos,Dripling,Press,Pas,Şut,Gole_katkı,Dakika
6,6,Matthis Abline,FRA,Auxerre,Ligue 1,2003,5,FWMF,0.12820108851528822,0.08877130935195647,0.18224181003409085,0.16999999999999998,0.032,0.08893185113581441
7,7,Matthis Abline,FRA,Rennes,Ligue 1,2003,11,FWMF,0.0852659767957651,0.13297869320482306,0.13758264830506034,0.22363888363888362,0.032,0.05123247945867569
9,9,Zakaria Aboukhlal,MAR,Toulouse,Ligue 1,2000,22,FWMF,0.19239349906421732,0.10911158733853804,0.13681796963063977,0.14798777798777799,0.1744144144144144,0.7278878685355243
10,10,Tammy Abraham,ENG,Roma,Serie A,1997,22,FW,0.1520291758686837,0.057118833029059124,0.14505186393579503,0.20933534933534936,0.2022102102102102,0.764137264378927
12,12,Mohamed Achi,FRA,Nantes,Ligue 1,2002,2,FW,0.03422119043967805,0.049088566045147344,0.1502804973219662,0.0,0.0,0.01691638472692122
14,14,Che Adams,SCO,Southampton,Premier League,1996,21,FW,0.11514522388886497,0.06558725363517759,0.08986715527267829,0.11602469602469602,0.13460660660660662,0.7617206379893668
16,16,Sargis Adamyan,ARM,K�ln,Bundesliga,1993,16,FWMF,0.2107960582933877,0.17728077333136877,0.1943308291551964,0.24256347256347255,0.043411411411411416,0.22716288061865636
19,19,Karim Adeyemi,GER,Dortmund,Bundesliga,2002,15,FWMF,0.23078217912735277,0.15167652116564725,0.21453459829479493,0.15686133686133685,0.0712072072072072,0.36926051232479457
20,20,Amine Adli,FRA,Leverkusen,Bundesliga,2000,13,FW,0.16009381154240038,0.1741497248152297,0.20305399962041634,0.09397530397530397,0.048816816816816815,0.31464475592073465
22,22,Michel Aebischer,SUI,Bologna,Serie A,1997,18,FWMF,0.06234177606292561,0.08258499690680518,0.1932143851334125,0.05192213192213192,0.032,0.3740937651039149
23,23,Felix Afena-Gyan,GHA,Cremonese,Serie A,2003,12,FWMF,0.07586646897592782,0.017468491247935,0.10376127595923959,0.034571284571284576,0.0,0.17303044949250845
33,33,Amar Ahmed,SWE,Troyes,Ligue 1,2004,1,FW,0.006929930068066881,0.008365343765415234,0.021111753376338162,0.0,0.0,0.00918318028032866
40,40,Ludovic Ajorque,FRA,Strasbourg,Ligue 1,1994,13,FW,0.10402595240444021,0.06227040907262552,0.1551327197297201,0.10266805266805266,0.032,0.37216046399226677
41,41,Ludovic Ajorque,FRA,Mainz 05,Bundesliga,1994,4,FW,0.10468352735473858,0.060433569072548494,0.2003497573629966,0.08891198891198893,0.022822822822822823,0.111164813919768
51,51,Lucas Alario,ARG,Eint Frankfurt,Bundesliga,1992,12,FW,0.1863404353471027,0.058336959853672654,0.1034263520096313,0.16943299943299944,0.032,0.1193813436442726
55,55,Marc Albrighton,ENG,Leicester City,Premier League,1989,6,FWMF,0.11049423204533097,0.16721468429367078,0.3702614262509716,0.05209790209790209,0.032,0.11406476558724021
66,66,Mohamed Ali Cho,FRA,Real Sociedad,La Liga,2004,8,FW,0.25236776487575097,0.13486882052302784,0.2174040039168061,0.1463963963963964,0.03423423423423424,0.152730787820203
72,72,Miguel Almir�n,PAR,Newcastle Utd,Premier League,1994,22,FW,0.1985430873413312,0.15571062767050778,0.2065679062370103,0.14734202734202734,0.323003003003003,0.8772353794103431
76,76,Carlos �lvarez,ESP,Sevilla,La Liga,2003,1,FW,0.0,0.0038980509745127436,0.0,0.0,0.0,0.004349927501208313
78,78,Juli�n �lvarez,ARG,Manchester City,Premier League,2000,16,FWMF,0.1733764819172735,0.12981456785633552,0.18739661945162192,0.20772128772128773,0.128,0.27887868535524407
79,79,Agust�n �lvarez Mart�nez,URU,Sassuolo,Serie A,2001,16,FWMF,0.12016921972754169,0.09957473016199853,0.10961693487190965,0.14652176652176652,0.033801801801801805,0.14258095698405027
92,92,Elliot Anderson,SCO,Newcastle Utd,Premier League,2002,10,FWMF,0.18550728819586432,0.3464941645748648,0.34334171888271997,0.0717948717948718,0.0,0.05799903334944418
93,93,Felipe Anderson,BRA,Lazio,Serie A,1993,22,FW,0.18051707590019342,0.16603187685614684,0.19359857893347118,0.16162162162162166,0.19860660660660662,0.8148864185596907
95,95,Komnen Andri?,SRB,Clermont Foot,Ligue 1,1995,23,FW,0.054211152111494694,0.08390891840874815,0.12978108903218583,0.1362130662130662,0.1364084084084084,0.6036732721121314
100,100,Janis Antiste,FRA,Sassuolo,Serie A,2002,2,FW,0.056475308809723394,0.07914481506851173,0.05068254089317947,0.15904428904428902,0.032,0.024649589173513776
103,103,Michail Antonio,JAM,West Ham,Premier League,1990,21,FW,0.1722840065029767,0.07483074873849815,0.12422543480879324,0.11436905436905437,0.07421021021021021,0.5074915418076366
104,104,Antony,BRA,Manchester Utd,Premier League,2000,12,FW,0.22832589746727464,0.08681164731891369,0.15496828854946387,0.16005418005418007,0.096,0.43837602706621553
106,106,Christopher Antwi-Adjei,GHA,Bochum,Bundesliga,1994,15,FWMF,0.18683394046298024,0.12348101053361395,0.25278520056577525,0.10727335727335728,0.10484084084084085,0.38037699371677136
114,114,Cameron Archer,ENG,Aston Villa,Premier League,2001,6,FWMF,0.005439169231791842,0.0016129032258064516,0.009848195988302196,0.0,0.0,0.023199613339777672
115,115,Ta�ryk Arconte,FRA,Brest,Ligue 1,2003,2,FWMF,0.008169373746812442,0.006749326417223561,0.0072644923706473,0.023310023310023312,0.0,0.014983083615273078
118,118,Adam Armstrong,ENG,Southampton,Premier League,1997,20,FW,0.1359229993990406,0.08661385342657778,0.14243924798428823,0.09032634032634032,0.037405405405405406,0.4958917351377477
120,120,Marko Arnautovi?,AUT,Bologna,Serie A,1989,14,FW,0.10662022676166852,0.04398032755536821,0.18168433996385228,0.1576192276192276,0.256,0.5741904301594973
125,125,Arthur,BRA,Fiorentina,Serie A,1998,16,FW,0.14587399091448297,0.07678506223920277,0.12537536713502678,0.15258174258174256,0.10440840840840841,0.319961333977767
127,127,Takuma Asano,JPN,Bochum,Bundesliga,1994,11,FWMF,0.12692123182705387,0.06852413862165581,0.11577992923118693,0.10222705222705224,0.032,0.3073948767520541
130,130,Marco Asensio,ESP,Real Madrid,La Liga,1996,15,FWMF,0.13905265821818547,0.12553840276610803,0.2683226922304248,0.1193164493164493,0.09643243243243244,0.24117931367810536
132,132,Fisnik Asllani,KVX,Hoffenheim,Bundesliga,2002,4,FWMF,0.09892181696458688,0.09931643371594091,0.22422413205822656,0.0,0.0,0.028516191396810053
134,134,Iago Aspas,ESP,Celta Vigo,La Liga,1987,20,FW,0.1696615912891191,0.029206814360607687,0.2400556600772537,0.16928053928053932,0.2976096096096096,0.8028032866118898
137,137,Pierre-Emerick Aubameyang,GAB,Chelsea,Premier League,1989,11,FW,0.10666306452008953,0.030472896695564904,0.08499861818888596,0.11922194922194922,0.032,0.20879652005799904
138,138,Pierre-Emerick Aubameyang,GAB,Barcelona,La Liga,1989,1,FW,0.002237861726670773,0.0020161290322580645,0.010033944571785473,0.0045045045045045045,0.0,0.003866602223296279
145,145,Ezequiel �vila,ARG,Osasuna,La Liga,1994,18,FWMF,0.11778658434830255,0.07235372413279689,0.2458664603613323,0.08153972153972155,0.23360960960960964,0.5606573223779603
147,147,Taiwo Awoniyi,NGA,Nott'ham Forest,Premier League,1997,16,FW,0.08371119318115099,0.1146345356586726,0.06688683300197981,0.1844963144963145,0.128,0.35234412759787337
149,149,Andr� Ayew,GHA,Nott'ham Forest,Premier League,1989,2,FW,0.0,0.15580863452815272,0.11192183812207078,0.0,0.0,0.013533107781536975
150,150,Jordan Ayew,GHA,Crystal Palace,Premier League,1991,22,FWMF,0.17768866902226887,0.1990506878639845,0.10039541077909232,0.07943551943551944,0.0356036036036036,0.7230546157564041
166,166,Leon Bailey,JAM,Aston Villa,Premier League,1997,20,FWMF,0.1289793496084915,0.07376889559330255,0.19929015601671785,0.15117243117243118,0.1364084084084084,0.6360560657322377
184,184,Folarin Balogun,ENG,Reims,Ligue 1,2001,21,FW,0.17061094332451351,0.04353965121560451,0.08555351195751583,0.21434637434637435,0.4516036036036037,0.7684871918801353
186,186,Jonathan Bamba,FRA,Lille,Ligue 1,1996,18,FW,0.14553741163375689,0.11547080689954828,0.3063744591522056,0.12079380079380077,0.13941141141141142,0.7022716288061865
187,187,Patrick Bamford,ENG,Leeds United,Premier League,1993,14,FW,0.12288037962355353,0.07174884768940971,0.12318691140601085,0.1502299502299502,0.033801801801801805,0.2861285645239246
188,188,Lameck Banda,ZAM,Lecce,Serie A,2001,22,FWMF,0.2066827148310032,0.14641445239490997,0.13950252737356827,0.026315126315126315,0.037405405405405406,0.5074915418076366
190,190,L�o Baptist�o,BRA,Almer�a,La Liga,1992,16,FWMF,0.07647471275789308,0.15410226022876028,0.15112161011700223,0.11059409059409059,0.0966006006006006,0.458192363460609
195,195,Bradley Barcola,FRA,Lyon,Ligue 1,2002,12,FWMF,0.2476831461505565,0.17209319517555946,0.16910264010811749,0.091019971019971,0.04821621621621622,0.16191396810053166
199,199,Kike Barja,ESP,Osasuna,La Liga,1997,10,FWMF,0.27429572160476706,0.04882714542294396,0.32018721504400305,0.08986013986013987,0.04581381381381382,0.18656355727404544
200,200,Ross Barkley,ENG,Nice,Ligue 1,1993,15,FWMF,0.14013662014350614,0.09206020452718654,0.2517060896604652,0.16344673344673344,0.105009009009009,0.29676172063798933
204,204,Ander Barrenetxea,ESP,Real Sociedad,La Liga,2001,7,FWDF,0.14539466831525316,0.2551386710604209,0.11532490236618134,0.10524475524475524,0.032,0.09183180280328661
207,207,Musa Barrow,GAM,Bologna,Serie A,1998,15,FWMF,0.13453300244107255,0.09854760344498423,0.24982845982061744,0.09493920493920495,0.0712072072072072,0.3682938617689705
210,210,Gil Basti�o Dias,POR,Stuttgart,Bundesliga,1996,2,FW,0.3103536120182054,0.05193164375980958,0.22517505470898738,0.0717948717948718,0.0,0.0541324311261479
221,221,Noah Joel Sarenren Bazee,NGA,Augsburg,Bundesliga,1996,1,FW,0.002724576887760478,0.006215109973960083,0.007787779964495235,0.0,0.0,0.003866602223296279
223,223,Beb�,CPV,Rayo Vallecano,La Liga,1990,4,FW,0.19923023586249644,0.10880325621325573,0.3943164878746093,0.06441441441441441,0.0,0.028516191396810053
224,224,Ihlas Bebou,TOG,Hoffenheim,Bundesliga,1994,5,FWDF,0.15618896690875883,0.11214635881143338,0.12255694187720165,0.2203962703962704,0.064,0.14934751087481876
228,228,Sheraldo Becker,SUR,Union Berlin,Bundesliga,1995,20,FW,0.1330094277819422,0.11921255426273095,0.24088319132114205,0.17636615636615635,0.23901501501501504,0.7022716288061865
233,233,Yanis Begraoui,FRA,Toulouse,Ligue 1,2001,3,FWMF,0.14402907706887225,0.1504866554690218,0.1871145232432147,0.0,0.0,0.030932817786370227
234,234,Kevin Behrens,GER,Union Berlin,Bundesliga,1991,20,FW,0.09013025496496227,0.06152635608297813,0.17359067101365513,0.1873892773892774,0.13520720720720722,0.3658772353794103
238,238,Youcef Bela�li,ALG,Brest,Ligue 1,1992,6,FWMF,0.12724731575825463,0.057076158297397414,0.06759581910491597,0.023310023310023312,0.003003003003003003,0.17158047365877235
243,243,Karim Bellarabi,GER,Leverkusen,Bundesliga,1990,6,FW,0.2218403029689705,0.129006831620919,0.2586116781907968,0.0,0.0,0.03914934751087482
248,248,Andrea Belotti,ITA,Roma,Serie A,1993,18,FW,0.13878755295373893,0.10852773965906497,0.14356341244183882,0.09289359289359289,0.0,0.1957467375543741
250,250,Eliesse Ben Seghir,FRA,Monaco,Ligue 1,2005,7,FW,0.21324836146820825,0.17511955555316105,0.230245476748348,0.09617715617715618,0.10741141141141142,0.2247462542290962
252,252,Wissam Ben Yedder,FRA,Monaco,Ligue 1,1990,19,FW,0.17665722579049115,0.07820518384024935,0.1865832955157616,0.2881068481068481,0.4624144144144145,0.5480908651522475
256,256,Sa�d Benrahma,ALG,West Ham,Premier League,1995,20,FWMF,0.26390516733089603,0.08785506411244667,0.24295578167996718,0.08874062874062874,0.1008048048048048,0.5761237312711455
260,260,Karim Benzema,FRA,Real Madrid,La Liga,1987,12,FW,0.11298291915435174,0.06913211248701526,0.15172279938372513,0.17966231966231966,0.3036156156156156,0.5050749154180764
261,261,Domenico Berardi,ITA,Sassuolo,Serie A,1994,13,FW,0.16031909438423755,0.14273614670124277,0.33425688137276705,0.0902948402948403,0.14541741741741743,0.44127597873368773
263,263,�lex Berenguer,ESP,Athletic Club,La Liga,1995,20,FW,0.17289199854716014,0.18979672402681053,0.2394150165198359,0.08637371637371638,0.1002042042042042,0.6597390043499275
266,266,Mitchell van Bergen,NED,Reims,Ligue 1,1999,18,FWDF,0.2144918629514657,0.09859515281547866,0.1999783561383446,0.14616644616644614,0.008408408408408407,0.3035282745287578
267,267,Mergim Berisha,GER,Augsburg,Bundesliga,1998,14,FW,0.07561804745666957,0.05889207524367892,0.11587434596395187,0.12113715113715114,0.21061861861861864,0.5519574673755437
273,273,Beto,GNB,Udinese,Serie A,1998,21,FW,0.1471657124395871,0.08143055811434183,0.07662874065259209,0.09181503181503183,0.22820420420420423,0.5809569840502659
281,281,El Bilal Tour�,MLI,Almer�a,La Liga,2001,15,FW,0.10818188073364457,0.039171776121969794,0.10866894444031414,0.16856422856422856,0.13941141141141142,0.45142580956984046
282,282,El Bilal Tour�,MLI,Reims,Ligue 1,2001,3,FW,0.0022716987958464833,0.0018504299843456267,0.007708083178586763,0.0009324009324009325,0.0,0.04349927501208313
287,287,Veljko Birman?evi?,SRB,Toulouse,Ligue 1,1998,14,FWMF,0.09770881768022477,0.31516459636788025,0.13577754007979959,0.03076923076923077,0.0,0.1290478492025133
302,302,Myron Boadu,NED,Monaco,Ligue 1,2001,4,FW,0.13918114750157057,0.012543980026115975,0.03795903992986589,0.15904428904428902,0.032,0.027549540840985987
312,312,Federico Bonazzoli,ITA,Salernitana,Serie A,1997,19,FW,0.028121845763830634,0.024958403065311118,0.11462909373850454,0.02982863982863983,0.0646006006006006,0.4364427259545674
318,318,Yvandro Borges Sanches,LUX,M'Gladbach,Bundesliga,2004,3,FWMF,0.3445653886683677,0.5935539098264665,0.3151382156022172,0.0,0.0,0.01304978250362494
320,320,Rafael Borr�,COL,Eint Frankfurt,Bundesliga,1995,18,FWMF,0.18254801610309182,0.17319315078987738,0.2110597889786572,0.08128205128205129,0.08562162162162162,0.2373127114548091
321,321,Erik Botheim,NOR,Salernitana,Serie A,2000,15,FW,0.07714083975877045,0.08457072003744527,0.1310551886992532,0.12067032067032069,0.04821621621621622,0.16143064282261962
324,324,Kouam� Botu�,BFA,Ajaccio,Ligue 1,2002,7,FWMF,0.028932619069208437,0.020537997332618678,0.05136977910965177,0.007396207396207396,0.0,0.1082648622522958
325,325,Badredine Bouanani,ALG,Nice,Ligue 1,2004,4,FWMF,0.04033975148983171,0.005763285965868336,0.022802977157371944,0.004662004662004662,0.009009009009009007,0.08506524891251813
328,328,Sofiane Boufal,MAR,Angers,Ligue 1,1993,13,FWMF,0.34578540724148626,0.11638157956707003,0.2292372844833853,0.09873117873117873,0.1472192192192192,0.40260995650072495
335,335,Jarrod Bowen,ENG,West Ham,Premier League,1996,22,FWMF,0.15048844501069839,0.11465095143887381,0.17754008707454144,0.09953190953190953,0.131003003003003,0.9516674722087965
336,336,Lucas Boy�,ARG,Elche,La Liga,1996,18,FW,0.08799580093601295,0.14935382377549467,0.09718586423764185,0.0714981414981415,0.04100900900900901,0.5877235379410343
339,339,Bilal Brahimi,ALG,Nice,Ligue 1,2000,15,FWMF,0.05295389942602062,0.0073772562752784515,0.10744596868760413,0.11745920745920746,0.0984024024024024,0.2150797486708555
340,340,Martin Braithwaite,DEN,Espanyol,La Liga,1991,15,FWMF,0.11250548541411282,0.049390068872920155,0.10529502127243254,0.18116487116487118,0.1648048048048048,0.5732237796036732
348,348,Josip Brekalo,CRO,Fiorentina,Serie A,1998,1,FW,0.010627220021939589,0.004781883251922426,0.043321816807535246,0.0022522522522522522,0.0,0.008699855002416625
351,351,Armando Broja,ALB,Chelsea,Premier League,2001,12,FW,0.18274004843140138,0.11232565878001449,0.07282130582495705,0.19839160839160838,0.032,0.1416143064282262
354,354,Moritz Broschinski,GER,Bochum,Bundesliga,2000,1,FW,0.009811791283690544,0.0025201612903225806,0.014703256095929372,0.11932400932400933,0.032,0.007733204446592557
358,358,Jacob Bruun Larsen,DEN,Hoffenheim,Bundesliga,1998,11,FW,0.1559024180635622,0.08936201578138454,0.1563356320138928,0.11354312354312354,0.032,0.1416143064282262
