,Id,Name,Nation,Team,League,Born,Mac,Pos,Dripling,Press,Pas,Şut,Gole_katkı,Dakika
2,2,Salis Abdul Samed,GHA,Clermont Foot,Ligue 1,2000,31,MF,0.007446808510638297,0.02313,0.09711234063419419,0.0257,0.029473684210526315,0.7198011114360925
3,3,Laurent Abergel,FRA,Lorient,Ligue 1,1993,34,MF,0.015890257558790595,0.025200000000000004,0.08886708619374523,0.00375,0.0018,0.8642878034513016
10,10,Ragnar Ache,GER,Eint Frankfurt,Bundesliga,1998,13,MFFW,0.07157894736842105,0.044794999999999995,0.04246578947368421,0.13686830985915494,0.0102,0.07546066101199181
14,14,Tyler Adams,USA,RB Leipzig,Bundesliga,1999,24,MF,0.02311184210526316,0.00477,0.09489016563146999,0.0014000000000000002,0.0021000000000000003,0.3948522959929804
18,18,Yacine Adli,FRA,Bordeaux,Ligue 1,2000,36,MFFW,0.0464501679731243,0.011520000000000002,0.06702977007736734,0.0214,0.037873684210526316,0.6607195086282539
19,19,Michel Aebischer,SUI,Bologna,Serie A,1997,12,MF,0.0025000000000000005,0.0,0.06697123242889834,0.00615,0.0,0.12927756653992395
23,23,Lucien Agoume,FRA,Brest,Ligue 1,2002,27,MF,0.0010638297872340426,0.026930000000000003,0.07422787948131199,0.00455,0.0,0.5460661011991811
24,24,Kevin Agudelo,COL,Spezia,Serie A,1998,23,MFFW,0.11481522956326987,0.0315,0.022649999999999997,0.061666666666666675,0.16420526315789472,0.3615092132202398
31,31,Jean-Eudes Aholou,CIV,Strasbourg,Ligue 1,1994,25,MF,0.028521836506159016,0.037259999999999995,0.05045414078674948,0.0245,0.06901578947368421,0.29336063176367355
48,48,Tom·s AlarcÛn,CHI,C·diz,La Liga,1999,23,MF,0.01930157894736842,0.02907,0.06441429116268933,0.0019500000000000001,0.0018,0.41649605147704005
52,52,Luis Alberto,ESP,Lazio,Serie A,1992,34,MF,0.06114992510289262,0.028439999999999997,0.14736241691184485,0.0761856807511737,0.1502,0.687920444574437
56,56,Thiago Alc·ntara,ESP,Liverpool,Premier League,1991,25,MF,0.02363157894736842,0.006389999999999999,0.11848874359812575,0.024383333333333333,0.051410526315789476,0.4483767183386955
57,57,RubÈn Alcaraz,ESP,C·diz,La Liga,1991,14,MF,0.04849902015677491,0.0,0.08086714612618502,0.038950000000000005,0.11789473684210526,0.32290143316759284
59,59,Iv·n Alejo,ESP,C·diz,La Liga,1995,20,MFFW,0.09231104841407192,0.006120000000000001,0.013333333333333334,0.06336666666666667,0.13036315789473685,0.31120210587891195
61,61,Carles AleÒ·,ESP,Getafe,La Liga,1998,33,MF,0.034102743561030234,0.033075,0.050744050343249435,0.017166666666666667,0.03187368421052632,0.6782684995612752
66,66,Allan,BRA,Everton,Premier League,1991,28,MF,0.02101595744680851,0.0,0.06712915985616213,0.0018,0.0024,0.6381983035975431
68,68,Dele Alli,ENG,Everton,Premier League,1996,11,MF,0.027659574468085108,0.030060000000000003,0.0561993243979514,0.0,0.0,0.09856683240713658
70,70,Miguel AlmirÛn,PAR,Newcastle Utd,Premier League,1994,30,MFFW,0.05422855979406932,0.006120000000000001,0.03068095238095238,0.02395,0.03684210526315789,0.5016086575021936
85,85,Nadiem Amiri,GER,Genoa,Serie A,1996,13,MFFW,0.05473684210526316,0.03726,0.06477950310559005,0.011850000000000003,0.0039000000000000003,0.19947353027200934
86,86,Nadiem Amiri,GER,Leverkusen,Bundesliga,1996,13,MFFW,0.025531914893617016,0.03528,0.1278145799280811,0.050683333333333344,0.1768421052631579,0.10763381105586428
88,88,Sofyan Amrabat,MAR,Fiorentina,Serie A,1996,23,MF,0.010750000000000003,0.004275,0.1360795194508009,0.08768333333333334,0.007368421052631579,0.27581164083065224
95,95,Benjamin AndrÈ,FRA,Lille,Ligue 1,1990,33,MF,0.021236842105263158,0.024,0.08783657513348589,0.05163004694835681,0.05247894736842104,0.804621234279029
96,96,Robert Andrich,GER,Leverkusen,Bundesliga,1994,26,MF,0.01367441209406495,0.013319999999999999,0.07691456903127383,0.10540023474178405,0.01773684210526316,0.531149458906113
106,106,Houssem Aouar,FRA,Lyon,Ligue 1,1998,36,MFFW,0.08651735722284434,0.021195000000000002,0.07469400675602048,0.060651173708920196,0.16630526315789473,0.7320854050892074
107,107,Adil Aouchiche,FRA,Saint-…tienne,Ligue 1,2002,35,MFFW,0.07887458006718925,0.011970000000000001,0.08076730957829356,0.012450000000000001,0.009899999999999999,0.3158818367943843
109,109,Mauro Arambarri,URU,Getafe,La Liga,1995,31,MF,0.05993790084495571,0.03113,0.04247888198757764,0.005450000000000001,0.0051,0.778590231061714
110,110,Mattia Aramu,ITA,Venezia,Serie A,1995,32,MFFW,0.05874426091825308,0.022230000000000003,0.0214,0.03548333333333334,0.02840526315789474,0.6139221994735303
111,111,Charles Ar·nguiz,CHI,Leverkusen,Bundesliga,1989,26,MF,0.05026618104739605,0.008190000000000001,0.1021201754385965,0.03255000000000001,0.05111052631578948,0.4612459783562445
120,120,Stuart Armstrong,SCO,Southampton,Premier League,1992,25,MF,0.04441209406494961,0.031185000000000008,0.06443816061893864,0.027316666666666666,0.08842105263157896,0.4305352442234571
122,122,Maximilian Arnold,GER,Wolfsburg,Bundesliga,1994,34,MF,0.001875,0.013094999999999999,0.07860812901819766,0.009633333333333334,0.09022105263157895,0.8754021643755484
124,124,Tolgay Arslan,GER,Udinese,Serie A,1990,30,MF,0.01702127659574468,0.01125,0.0514488612836439,0.06381572769953052,0.03684210526315789,0.4846446329336063
128,128,Santiago AscacÌbar,ARG,Hertha BSC,Bundesliga,1997,28,MF,0.016926371780515117,0.0,0.047668737060041405,0.0014,0.0012,0.6943550745832116
133,133,Kristoffer Askildsen,NOR,Sampdoria,Serie A,2001,19,MF,0.03126315789473684,0.00747,0.016,0.0,0.0,0.22023983620941795
135,135,Kristjan Asllani,ALB,Empoli,Serie A,2002,23,MF,0.019736842105263157,0.047924999999999995,0.07574315680505611,0.0286,0.05367894736842104,0.39543726235741444
156,156,Iddrisu Baba,GHA,Mallorca,La Liga,1996,26,MF,0.019449468085106385,0.02502,0.04271169772256729,0.03735000000000001,0.06631578947368422,0.5653699912255046
160,160,Milan Badelj,CRO,Genoa,Serie A,1989,34,MF,0.003191489361702127,0.00801,0.08419047074207259,0.019666666666666666,0.02210526315789474,0.831529687042995
172,172,Nedim Bajrami,ALB,Empoli,Serie A,1999,35,MFFW,0.06951847704367303,0.021195,0.054038988776288543,0.049534507042253526,0.19817894736842107,0.6004679730915473
175,175,TiemouÈ Bakayoko,FRA,Milan,Serie A,1994,14,MF,0.011125000000000001,0.00801,0.08720360684319495,0.0,0.0,0.14624159110851126
190,190,Jonathan Bamba,FRA,Lille,Ligue 1,1996,31,MFFW,0.05498320268756999,0.02475,0.08792938324071048,0.014666666666666666,0.031573684210526316,0.7098566832407137
192,192,Filippo Bandinelli,ITA,Empoli,Serie A,1995,35,MF,0.047813549832026875,0.005849999999999999,0.0385304347826087,0.026716666666666666,0.07051578947368421,0.571512138052062
195,195,Shandon Baptiste,GRN,Brentford,Premier League,1998,22,MF,0.002105263157894737,0.013005000000000001,0.0333804347826087,0.03466666666666667,0.010368421052631579,0.26586721263527346
202,202,Enis Bardhi,MKD,Levante,La Liga,1995,30,MFFW,0.04017917133258679,0.035190000000000006,0.05408893974065599,0.02061666666666667,0.12269473684210526,0.49722140976893825
204,204,Keidi Bare,ALB,Espanyol,La Liga,1997,25,MF,0.040155515117581184,0.027855000000000005,0.08211830118775199,0.007566666666666667,0.04601052631578948,0.4328751096811933
205,205,NicolÚ Barella,ITA,Inter,Serie A,1997,36,MF,0.08014295894475068,0.02574,0.084786117467582,0.033246713615023474,0.07651578947368422,0.8517110266159696
206,206,Kike Barja,ESP,Osasuna,La Liga,1997,21,MFFW,0.0010638297872340426,0.02718,0.07620610221205187,0.057171126760563386,0.15473684210526314,0.2527054694355074
212,212,Leandro Barreiro Martins,LUX,Mainz 05,Bundesliga,2000,31,MF,0.00375,0.0,0.0175,0.021750000000000002,0.039842105263157894,0.5229599298040363
220,220,Toma Baöi?,CRO,Lazio,Serie A,1996,29,MF,0.02932236842105263,0.025965,0.06621189386509753,0.03529014084507042,0.005399999999999999,0.2869260017548991
227,227,Rodrigo Battaglia,ARG,Mallorca,La Liga,1991,26,MF,0.026342105263157896,0.012735,0.04102349896480331,0.0012,0.0,0.3445451886516525
232,232,Christoph Baumgartner,AUT,Hoffenheim,Bundesliga,1999,29,MFFW,0.05386730123180291,0.01629,0.10057385855944208,0.06981666666666668,0.2461578947368421,0.5519157648435216
236,236,Noah Joel Sarenren Bazee,NGA,Augsburg,Bundesliga,1996,14,MFFW,0.0,0.016649999999999998,0.011099999999999999,0.04666666666666667,0.27263157894736845,0.07019596373208539
248,248,Youcef BelaÔli,ALG,Brest,Ligue 1,1992,13,MFFW,0.14743721004639257,0.034975000000000006,0.05731423123024954,0.07968333333333333,0.2497578947368421,0.24100614214682656
251,251,Haris Belkebla,ALG,Brest,Ligue 1,1994,31,MF,0.015005319148936172,0.013320000000000002,0.0665829519450801,0.0014,0.0,0.675343667739105
256,256,Jean-Ricner Bellegarde,FRA,Strasbourg,Ligue 1,1998,36,MF,0.008421052631578947,0.005940000000000001,0.07963331698812248,0.04113450704225353,0.06254736842105263,0.6817782977478796
258,258,Jude Bellingham,ENG,Dortmund,Bundesliga,2003,32,MF,0.090812233678975,0.005489999999999999,0.07095381933093604,0.03178333333333334,0.01516842105263158,0.8157355952032759
262,262,Fran Beltr·n,ESP,Celta Vigo,La Liga,1999,37,MF,0.011940789473684212,0.0,0.09588926664487307,0.029930046948356808,0.02210526315789474,0.7592863410353905
267,267,Marco Benassi,ITA,Empoli,Serie A,1994,12,MF,0.003,0.022364999999999996,0.06976060259344012,0.01905,0.0,0.11143609242468556
270,270,L·szlÛ BÈnes,SVK,M'Gladbach,Bundesliga,1997,13,MF,0.00925,0.0,0.09442256728778467,0.13768169014084505,0.0,0.07165837964317051
276,276,IsmaÎl Bennacer,ALG,Milan,Serie A,1997,31,MF,0.04427771556550952,0.004275,0.0875121281464531,0.04993333333333334,0.09022105263157895,0.4457443696987423
280,280,Nabil Bentaleb,ALG,Angers,Ligue 1,1994,18,MF,0.019014557670772675,0.00747,0.08025916966328867,0.029633333333333334,0.04421052631578948,0.4428195378765721
281,281,Rodrigo Bentancur,URU,Tottenham,Premier League,1997,17,MF,0.010750000000000003,0.0333,0.11224308052740548,0.029197887323943662,0.0078000000000000005,0.3977771278151506
282,282,Rodrigo Bentancur,URU,Juventus,Serie A,1997,19,MF,0.01238563829787234,0.00567,0.09297046420398823,0.033969014084507046,0.0024,0.337525592278444
288,288,¡lex Berenguer,ESP,Athletic Club,La Liga,1995,34,MFFW,0.06462486002239642,0.013995,0.05388926664487305,0.04851784037558685,0.09592105263157896,0.6338110558642879
290,290,JÛhann Berg Gu?mundsson,ISL,Burnley,Premier League,1990,18,MF,0.016842105263157894,0.025109999999999997,0.041933333333333336,0.006549999999999999,0.0024,0.32202398362094176
291,291,Patrick Berg,NOR,Lens,Ligue 1,1997,14,MF,0.0036249999999999998,0.0,0.08530979078130108,0.0,0.0,0.08949985375840888
295,295,Valon Berisha,KVX,Reims,Ligue 1,1993,13,MFFW,0.009085526315789474,0.003510000000000001,0.021682608695652174,0.0,0.006000000000000001,0.13278736472652822
296,296,Federico Bernardeschi,ITA,Juventus,Serie A,1994,28,MFFW,0.050660694288913774,0.034245,0.05190615669608804,0.04707676056338029,0.04961052631578948,0.4311202105878912
301,301,Jason Berthomier,FRA,Clermont Foot,Ligue 1,1990,29,MF,0.0787019876819709,0.02538,0.09893400893538193,0.03728896713615024,0.04464210526315789,0.506288388417666
304,304,Daniel Bessa,ITA,Hellas Verona,Serie A,1993,24,MFFW,0.01175,0.01161,0.07484515636918385,0.009333333333333332,0.09202105263157896,0.22433460076045625
318,318,Yves Bissouma,MLI,Brighton,Premier League,1996,26,MF,0.04004479283314669,0.00693,0.07733021684646399,0.020616666666666665,0.03217368421052631,0.6171395144779176
323,323,Ludovic Blas,FRA,Nantes,Ligue 1,1997,35,MFFW,0.07823926353601604,0.038385,0.04346567505720823,0.04991338028169014,0.02660526315789474,0.8657502193623867
327,327,Kevin-Prince Boateng,GHA,Hertha BSC,Bundesliga,1987,18,MFFW,0.009750000000000002,0.021060000000000002,0.06607451236787622,0.006500000000000001,0.0,0.20327581164083064
330,330,Jean-Paul BoÎtius,NED,Mainz 05,Bundesliga,1994,33,MF,0.0125,0.059550000000000006,0.06343140459845265,0.05227230046948357,0.010368421052631579,0.5261772448084235
334,334,Emil Bohinen,NOR,Salernitana,Serie A,1999,11,MF,0.0,0.022860000000000002,0.03382587991718426,0.0057,0.0039000000000000003,0.2041532611874817
335,335,Quentin Boisgard,FRA,Lorient,Ligue 1,1997,25,MFFW,0.009574468085106383,0.028980000000000002,0.0442703933747412,0.03505,0.06901578947368421,0.27990640538169054
338,338,Giacomo Bonaventura,ITA,Fiorentina,Serie A,1989,31,MF,0.012676371780515117,0.03168,0.07406704805491991,0.07056901408450705,0.12269473684210526,0.6624744077215561
348,348,Hicham Boudaoui,ALG,Nice,Ligue 1,1999,29,MF,0.047710329983566266,0.011520000000000002,0.07704573934837093,0.06973333333333333,0.12856315789473685,0.47382275519157646
349,349,Ryad Boudebouz,ALG,Saint-…tienne,Ligue 1,1990,30,MFFW,0.01896976483762598,0.033120000000000004,0.11332932330827068,0.04441784037558685,0.09322105263157895,0.6583796431705178
351,351,Farid Boulaya,ALG,Metz,Ligue 1,1993,24,MFFW,0.04353051511758119,0.02223,0.06821367549308054,0.07645000000000002,0.1804421052631579,0.44603685288095934
357,357,Edoardo Bove,ITA,Roma,Serie A,2002,11,MFFW,0.0,0.026999999999999996,0.05765293668954996,0.0033333333333333335,0.0,0.019596373208540508
363,363,Bilal Brahimi,FRA,Nice,Ligue 1,2000,11,MFFW,0.055531914893617015,0.030780000000000002,0.057642475754603906,0.0,0.0,0.11026615969581748
365,365,Julian Brandt,GER,Dortmund,Bundesliga,1996,31,MFFW,0.059465830921598004,0.026100000000000005,0.11688032036613273,0.09901666666666668,0.29786842105263156,0.6074875694647558
367,367,Darko Braöanac,SRB,Osasuna,La Liga,1992,35,MF,0.01225531914893617,0.01044,0.037984472049689445,0.039134507042253526,0.031573684210526316,0.7031295700497222
376,376,Yan Brice Eteki,CMR,Granada,La Liga,1997,12,MF,0.00562,0.014220000000000002,0.034912422360248455,0.0,0.0,0.1000292483182217
382,382,Josh Brownhill,ENG,Burnley,Premier League,1995,35,MF,0.034011379997382234,0.0041400000000000005,0.03876832298136647,0.027983333333333336,0.04691052631578948,0.8639953202690845
383,383,Marcelo Brozovi?,CRO,Inter,Serie A,1992,35,MF,0.006500000000000001,0.019215000000000003,0.11754679089026915,0.027200000000000002,0.045110526315789476,0.8587306229891781
387,387,Bryan,ESP,Valencia,La Liga,2001,13,MFFW,0.06356103023516238,0.024615,0.0024,0.0036,0.0036,0.21994735302720092
