,Id,Name,Nation,Team,League,Born,Mac,Pos,Dripling,Press,Pas,Şut,Gole_katkı,Dakika
0,0,Brenden Aaronson,USA,Leeds United,Premier League,2000,20,MFFW,0.13444952002972843,0.10732480860087254,0.17650071030320263,0.050009870009870006,0.03790990990990992,0.7709038182696955
2,2,Himad Abdelli,FRA,Angers,Ligue 1,1999,14,MFFW,0.16154795388298188,0.14206285770858781,0.33836922157262395,0.03168273168273168,0.0,0.37167713871435476
3,3,Salis Abdul Samed,GHA,Lens,Ligue 1,2000,20,MF,0.04452389224949856,0.10768681727083688,0.21326953753954314,0.037756777756777764,0.028000000000000004,0.8690188496858385
4,4,Laurent Abergel,FRA,Lorient,Ligue 1,1993,15,MF,0.03810760715773146,0.22681906397379606,0.23639952241043044,0.004804804804804805,0.0072072072072072065,0.5625906234896085
5,5,Oliver Abildgaard,DEN,Hellas Verona,Serie A,1996,1,MF,0.0,0.006517965599335965,0.006638666127525797,0.0,0.0,0.004833252779120348
15,15,Tyler Adams,USA,Leeds United,Premier League,1999,19,MF,0.03142410854344582,0.2698336355297726,0.29847414079691703,0.0,0.0,0.8240695988400193
18,18,Martin Adeline,FRA,Reims,Ligue 1,2003,5,MFFW,0.03329407652346729,0.12823178164829865,0.12324711800782376,0.0,0.0,0.05123247945867569
21,21,Yacine Adli,FRA,Milan,Serie A,2000,4,MFFW,0.07893171239831748,0.29903404007860646,0.2776128345785356,0.1076923076923077,0.0,0.055582406959884006
25,25,Lucien Agoume,FRA,Troyes,Ligue 1,2002,5,MF,0.06333251493721753,0.2775283748369406,0.24582572489774662,0.0,0.0,0.13774770420492993
27,27,�lvaro Aguado,ESP,Valladolid,La Liga,1996,19,MF,0.04932559566353196,0.1274092515046484,0.31846522897442686,0.011188811188811189,0.014414414414414413,0.5456742387626873
28,28,Kevin Agudelo,COL,Spezia,Serie A,1998,21,MFFW,0.14524573917023237,0.2031889864114561,0.16154779513494022,0.033089733089733085,0.0,0.6969550507491542
31,31,Naouirou Ahamada,FRA,Crystal Palace,Premier League,2002,2,MFFW,0.0027917135829727746,0.008472943271229274,0.022102577157482844,0.003003003003003003,0.0,0.007249879168680522
32,32,Naouirou Ahamada,FRA,Stuttgart,Bundesliga,2002,17,MF,0.12412201212984512,0.08946790761480795,0.19729465674784474,0.07351876351876353,0.06771171171171173,0.6752054132431126
34,34,Jean-Eudes Aholou,CIV,Strasbourg,Ligue 1,1994,19,MF,0.10153898875030967,0.18499928461458331,0.1912633554188145,0.059044289044289044,0.028000000000000004,0.40260995650072495
46,46,Paul Akouokou,CIV,Betis,La Liga,1997,6,MF,0.008548931383577053,0.2711735853273216,0.18168952584256104,0.0493962493962494,0.0,0.11454809086515225
47,47,Jean-Daniel Akpa-Akpro,CIV,Empoli,Serie A,1992,12,MF,0.0977152350302105,0.2699568030264171,0.14498969969890765,0.011106911106911106,0.0,0.292411793136781
50,50,Tom�s Alarc�n,CHI,C�diz,La Liga,1999,4,MF,0.0009334889148191364,0.042031411093921764,0.08956299965473755,0.002797202797202797,0.0,0.10729821169647173
53,53,Luis Alberto,ESP,Lazio,Serie A,1992,19,MF,0.0597612280377973,0.18002561183389587,0.39045755585365666,0.0641958041958042,0.13542342342342345,0.5084581923634606
56,56,Thiago Alc�ntara,ESP,Liverpool,Premier League,1991,14,MF,0.09920322697968106,0.18601756229795438,0.45795000841887334,0.0103992103992104,0.0,0.5572740454325761
57,57,Carlos Alcaraz,ARG,Southampton,Premier League,2002,3,MF,0.12004175235133122,0.15320316392386782,0.12919605742843376,0.2875595875595876,0.028000000000000004,0.06428226196230064
58,58,Rub�n Alcaraz,ESP,C�diz,La Liga,1991,16,MF,0.03535908018008404,0.1299736522250247,0.2278876642523059,0.03799281799281799,0.028000000000000004,0.48670855485741904
60,60,Iv�n Alejo,ESP,C�diz,La Liga,1995,16,MFFW,0.10172267951900726,0.23526616504888576,0.19628674126699044,0.0324975324975325,0.010810810810810811,0.3518608023199613
62,62,Carles Ale��,ESP,Getafe,La Liga,1998,19,MF,0.03378636161764983,0.11397667445339751,0.1952366187195635,0.044806274806274804,0.06681081081081082,0.7027549540840986
64,64,Alejandro Alfaro,ESP,Elche,La Liga,2002,1,MF,0.0011248593925759281,0.0006048387096774194,0.0023165121183824056,0.0,0.0,0.0067665538907684866
65,65,�ngel Algobia,ESP,Getafe,La Liga,1999,14,MF,0.01920140874691782,0.17494648619660483,0.20420513297615095,0.0,0.0,0.3605606573223779
70,70,Dele Alli,ENG,Everton,Premier League,1996,2,MF,0.005624296962879641,0.0024193548387096775,0.06654719089715602,0.0,0.0,0.018849685838569358
71,71,Domingos Andr� Ribeiro Almeida,POR,Valencia,La Liga,2000,18,MF,0.12542451483769396,0.2088218576455398,0.25397344793055115,0.08937902937902939,0.07581981981981983,0.6060898985016916
75,75,�der �lvarez Balanta,COL,Schalke 04,Bundesliga,1993,1,MF,0.0,0.2618337662332137,0.2471236144204696,0.0,0.0,0.027549540840985987
83,83,Amath,SEN,Mallorca,La Liga,1996,14,MFFW,0.13095721645671496,0.1880461093233161,0.13018576815065003,0.076003906003906,0.028000000000000004,0.23827936201063316
88,88,Nadiem Amiri,GER,Leverkusen,Bundesliga,1996,15,MFFW,0.14720493304508114,0.09951393724086405,0.2045845404260626,0.06997017997017997,0.06861261261261262,0.30691155147414206
90,90,Sofyan Amrabat,MAR,Fiorentina,Serie A,1996,18,MF,0.0501264033565201,0.19937392811469146,0.42624125681711855,0.011188811188811189,0.0,0.5625906234896085
94,94,Benjamin Andr�,FRA,Lille,Ligue 1,1990,20,MF,0.05312522968374375,0.3304876310613071,0.36363514406830905,0.024633234633234635,0.03250450450450451,0.848235862735621
96,96,Robert Andrich,GER,Leverkusen,Bundesliga,1994,18,MF,0.007084011958843874,0.20730610846401668,0.251805817636969,0.06441945441945443,0.06771171171171173,0.6839052682455292
99,99,Jaidon Anthony,ENG,Bournemouth,Premier League,1999,17,MFFW,0.11195430021227305,0.1944272963972495,0.2408712250070948,0.14702618702618706,0.084,0.37796036732721117
102,102,Marcos Ant�nio,BRA,Lazio,Serie A,2000,11,MF,0.01910725406344792,0.20375553205553076,0.29458260596036856,0.0,0.0,0.1498308361527308
107,107,Anuar,MAR,Valladolid,La Liga,1995,3,MFFW,0.14008404563399068,0.10687281507794695,0.0969856976527376,0.14006993006993007,0.028000000000000004,0.10101498308361527
108,108,Houssem Aouar,FRA,Lyon,Ligue 1,1998,9,MF,0.12535576848934646,0.17674453365165474,0.3058816584051728,0.11673302673302674,0.04781981981981982,0.19381343644272594
109,109,Adil Aouchiche,FRA,Lorient,Ligue 1,2002,6,MFFW,0.1397931151254868,0.12093745335501199,0.34514407603446673,0.1442890442890443,0.0,0.04059932334461092
111,111,Mauro Arambarri,URU,Getafe,La Liga,1995,7,MF,0.01735997155405251,0.12149850502384724,0.24148096714132478,0.0,0.013513513513513513,0.28322861285645234
112,112,Charles Ar�nguiz,CHI,Leverkusen,Bundesliga,1989,10,MF,0.05080714969287948,0.27667185039063746,0.26984944908443453,0.03184149184149184,0.028000000000000004,0.23779603673272112
117,117,Joe Aribo,NGA,Southampton,Premier League,1996,19,MFFW,0.12417733072834661,0.17263274064363893,0.1431672764122227,0.10095865095865096,0.05600000000000001,0.528274528757854
119,119,Stuart Armstrong,SCO,Southampton,Premier League,1992,18,MFFW,0.07630371662353777,0.15243524552587298,0.3297882229782132,0.07216321216321217,0.028000000000000004,0.37022716288061863
121,121,Maximilian Arnold,GER,Wolfsburg,Bundesliga,1994,20,MF,0.026607558785165932,0.17354408217325742,0.26395368555002413,0.037850017850017854,0.11290090090090092,0.8347027549540841
123,123,Roberto Arroyo,ESP,Valladolid,La Liga,2003,1,MF,0.0027917135829727746,0.006112697071564293,0.010130479275358302,0.0,0.0,0.0067665538907684866
124,124,Tolgay Arslan,GER,Udinese,Serie A,1990,20,MF,0.11659976610740232,0.17375119956623014,0.16177395438909772,0.06173481173481173,0.028000000000000004,0.3934267762203963
128,128,Santiago Ascac�bar,ARG,Cremonese,Serie A,1997,13,MF,0.036989663350036193,0.2447357994930892,0.3356988140541821,0.12123207123207122,0.0,0.35089415176413724
131,131,Kristoffer Askildsen,NOR,Lecce,Serie A,2001,16,MF,0.033617228490260366,0.14610638822033362,0.16837080351658254,0.031468531468531465,0.0,0.28564523924601254
133,133,Kristjan Asllani,ALB,Inter,Serie A,2002,12,MF,0.029139898316446294,0.18786639039014127,0.29217892416343794,0.0,0.0,0.14209763170613823
144,144,Mathias Autret,FRA,Auxerre,Ligue 1,1991,19,MFFW,0.07425392540106696,0.1356500100566943,0.2616210467290834,0.11474621474621474,0.06951351351351352,0.5751570807153213
153,153,Ayman Azhil,MAR,Leverkusen,Bundesliga,2001,1,MF,0.0,0.0,0.0,0.0,0.0,0.0
154,154,Sardar Azmoun,IRN,Leverkusen,Bundesliga,1995,10,MFFW,0.029142259897753636,0.09698525999132496,0.13969908149643573,0.07972027972027972,0.0,0.1498308361527308
157,157,Iddrisu Baba,GHA,Mallorca,La Liga,1996,17,MF,0.013875909532693704,0.16433511269151735,0.07632860402337513,0.0,0.0,0.4804253262445626
164,164,Alex Baena,ESP,Villarreal,La Liga,2001,18,MFFW,0.07135925542592067,0.13024073588263355,0.23261575029697387,0.16058107058107057,0.12010810810810812,0.501691638472692
169,169,Brandon Baiye,BEL,Clermont Foot,Ligue 1,2000,7,MF,0.0737566525744412,0.25156390521684424,0.17729260620350054,0.0,0.0,0.024166263895601742
170,170,Stefan Bajcetic,ESP,Liverpool,Premier League,2004,5,MF,0.18126199167217566,0.22750501583245875,0.2772044397014999,0.048135198135198135,0.028000000000000004,0.09328177863702272
171,171,Nedim Bajrami,ALB,Empoli,Serie A,1999,19,MFFW,0.09175843056329946,0.08334936192169792,0.13257868182049545,0.06412041412041412,0.028900900900900906,0.45432576123731266
